LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00796nas a2200229uu 4500," Martin, William"," The Book of Sports :  :  Containing Out-door Sports, Amusements and Recreations, Including Gymnastics, Gardening and Carpentering  [electronic resource] /  William Martin"," Project Gutenberg,  2008", Public domain in the USA., Text, Amusements -- Juvenile literature, Sports -- Juvenile literature,,,, Project Gutenberg  25068, http://www.gutenberg.org/ebooks/25068
00693nas a2200205uu 4500,, Vääpeli Lemminkäisen päiväkirja :   Suomen kaartin retkestä Konstantinopolin muurien edustalle vuosina 1877-1878  [electronic resource] /  Anonymous," Project Gutenberg,  2008", Public domain in the USA., Text," Russo-Turkish War, 1877-1878",,,,, Project Gutenberg  25069, http://www.gutenberg.org/ebooks/25069
00741nas a2200241uu 4500," Rice, Alice Caldwell Hegan,  1870-1942", Mr. Opp  [electronic resource] /  Alice Caldwell Hegan Rice," Project Gutenberg,  2008", Public domain in the USA., Text, Newspaper editors -- Fiction, Brothers and sisters -- Fiction, Kentucky -- Fiction,,, Project Gutenberg  25070, http://www.gutenberg.org/ebooks/25070
00731nas a2200241uu 4500," Borrow, George,  1803-1881", The Romany Rye :   A Sequel to 'Lavengro'  [electronic resource] /  George Borrow," Project Gutenberg,  2008", Public domain in the USA., Text, England -- Fiction, Adventure stories, Romanies -- Fiction,,, Project Gutenberg  25071, http://www.gutenberg.org/ebooks/25071
00657nas a2200205uu 4500,," The New England Magazine, Volume 1, No. 4, Bay State Monthly, Volume 4, No. 4, April, 1886  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, New England -- Periodicals,,,,, Project Gutenberg  25072, http://www.gutenberg.org/ebooks/25072
00657nas a2200217uu 4500," Atkinson, J. Beavington,  1822-1886", Overbeck  [electronic resource] /  J. Beavington Atkinson," Project Gutenberg,  2008", Public domain in the USA., Text," Overbeck, Johann Friedrich, 1789-1869",,,,, Project Gutenberg  25073, http://www.gutenberg.org/ebooks/25073
00624nas a2200205uu 4500," Estébanez Calderón, Serafín,  1799-1867", Novelas y cuentos  [electronic resource] /  Serafín Estébanez Calderón," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25074, http://www.gutenberg.org/ebooks/25074
00877nas a2200253uu 4500," Carmichael-Smyth, Robert,  1799-1888"," A Letter from Major Robert Carmichael-Smyth to His Friend, the Author of 'The Clockmaker'  [electronic resource] /  Robert Carmichael-Smyth"," Project Gutenberg,  2008", Public domain in the USA., Text, Railroads -- Canada," Haliburton, Thomas Chandler, 1796-1865", Great Britain -- Colonies -- America, Transportation -- Canada,, Project Gutenberg  25075, http://www.gutenberg.org/ebooks/25075
00627nas a2200217uu 4500," Cable, Boyd,  1878-1943", Between the Lines  [electronic resource] /  Boyd Cable," Project Gutenberg,  2008", Public domain in the USA., Text," World War, 1914-1918",,,,, Project Gutenberg  25076, http://www.gutenberg.org/ebooks/25076
00690nas a2200217uu 4500," Jones, Henry Festing,  1851-1928"," Castellinaria, and Other Sicilian Diversions  [electronic resource] /  Henry Festing Jones"," Project Gutenberg,  2008", Public domain in the USA., Text, Sicily (Italy) -- Description and travel,,,,, Project Gutenberg  25077, http://www.gutenberg.org/ebooks/25077
